study,pair,date,side,outcome,tie,k
single pct_b,GBPUSD,2014-02-17,top,reversal,False,5
single pct_b,GBPUSD,2014-03-20,bottom,reversal,False,5
single pct_b,GBPUSD,2014-04-09,top,continuation,False,6
single pct_b,GBPUSD,2014-05-07,top,reversal,False,2
single pct_b,GBPUSD,2014-05-29,bottom,reversal,False,5
single pct_b,GBPUSD,2014-06-13,top,continuation,False,4
single pct_b,GBPUSD,2014-07-25,bottom,continuation,False,3
single pct_b,GBPUSD,2014-08-14,bottom,continuation,False,4
single pct_b,GBPUSD,2014-09-05,bottom,continuation,False,1
single pct_b,GBPUSD,2014-10-06,bottom,reversal,False,1
single pct_b,GBPUSD,2014-10-15,bottom,reversal,False,1
single pct_b,GBPUSD,2014-11-07,bottom,continuation,False,5
single pct_b,GBPUSD,2014-12-24,bottom,continuation,False,7
single pct_b,GBPUSD,2015-01-05,bottom,continuation,False,1
single pct_b,GBPUSD,2015-02-06,top,continuation,False,9
single pct_b,GBPUSD,2015-03-09,bottom,continuation,False,3
single pct_b,GBPUSD,2015-04-13,bottom,reversal,False,1
single pct_b,GBPUSD,2015-04-27,top,continuation,False,1
single pct_b,GBPUSD,2015-05-13,top,reversal,False,4
single pct_b,GBPUSD,2015-06-18,top,reversal,False,4
single pct_b,GBPUSD,2015-07-09,bottom,reversal,False,1
single pct_b,GBPUSD,2015-08-25,top,reversal,False,1
single pct_b,GBPUSD,2015-08-28,bottom,continuation,False,3
single pct_b,GBPUSD,2015-11-06,bottom,continuation,False,1
single pct_b,GBPUSD,2015-12-03,bottom,reversal,False,1
single pct_b,GBPUSD,2015-12-18,bottom,continuation,False,7
single pct_b,GBPUSD,2016-01-11,bottom,continuation,False,1
single pct_b,GBPUSD,2016-01-13,bottom,continuation,False,2
single pct_b,GBPUSD,2016-01-18,bottom,continuation,False,1
single pct_b,GBPUSD,2016-02-23,bottom,continuation,False,1
single pct_b,GBPUSD,2016-02-29,bottom,reversal,False,2
single pct_b,GBPUSD,2016-03-18,top,reversal,False,2
single pct_b,GBPUSD,2016-04-27,top,continuation,False,4
single pct_b,GBPUSD,2016-06-13,bottom,continuation,False,3
single pct_b,GBPUSD,2016-06-27,bottom,continuation,False,6
